total_sqft,bath,bhk,balcony,garage_sqft,price
2850,2,4,2,357,428
1630,2,3,2,204,194
1875,2,3,2,235,235
1200,2,3,2,150,130
1235,2,2,1,155,148
2750,2,4,2,344,413
2450,2,4,2,307,368
1875,2,3,2,235,167
1500,2,5,3,188,85
2065,2,3,2,259,210
2059,2,3,2,258,225
1394,2,2,1,175,100
1077,2,2,1,135,93
1566,2,2,1,196,180
840,2,1,1,105,50
1590,2,3,2,199,131
2180,2,3,2,273,210
1180,2,2,1,148,88.5
1200,2,2,1,150,86
1394,2,2,1,175,85
2077,2,3,2,260,175
1205,2,2,1,151,85
900,2,2,1,113,75
1450,2,3,2,182,50.75
1150,2,2,1,144,40.25
1350,2,3,2,169,47.25
1350,2,3,2,169,47.25
900,2,2,1,113,41
1681,2,3,2,211,69
1350,2,3,2,169,47.25
1150,2,2,1,144,40.25
1500,2,4,2,188,220
3000,2,6,3,375,451
2400,2,6,3,300,450
1350,2,4,2,169,200
1200,2,4,2,150,225
1500,2,4,2,188,230
1206,2,2,1,151,56
1270,2,3,2,159,70
1312,2,2,1,164,69
1100,2,2,1,138,48
3600,2,5,3,450,130
5100,2,6,3,638,300
1075,2,2,1,135,60
1150,2,2,1,144,52.5
1256,2,2,1,157,62.8
1207,2,2,1,151,63
1725,2,3,2,216,100
1440,2,2,1,180,60
1700,2,3,2,213,100
2500,2,5,3,313,110
600,2,1,1,75,30
1390,2,2,1,174,65
1256,2,2,1,157,62.8
1000,2,2,1,125,48
1350,2,3,2,169,75
552,2,1,1,69,23.5
1200,2,2,1,150,51
1030,2,2,1,129,57
1200,2,2,1,150,68
1190,2,2,1,149,61.8
4000,2,5,3,500,170
1080,2,2,1,135,53
1041,2,2,1,131,54
812,2,2,1,102,42
1010,2,2,1,127,57
1075,2,2,1,135,60
1192,2,2,1,149,74
1180,2,2,1,148,80
3245,2,4,2,406,250
1645,2,3,2,206,100
1140,2,2,1,143,65
2040,2,3,2,255,200
1213,2,2,1,152,63
1216,2,2,1,152,60
1460,2,2,1,183,80
2003,2,3,2,251,200
1810,2,3,2,227,131
1515,2,3,2,190,135
1192,2,2,1,149,75
1280,2,2,1,160,88
1080,2,2,1,135,72
1270,2,2,1,159,93
1420,2,3,2,178,100
1850,2,3,2,232,150
1245,2,2,1,156,94
1175,2,2,1,147,82
1400,2,3,2,175,95
2225,2,3,2,279,160
1050,2,2,1,132,71
1100,2,2,1,138,46
918,2,2,1,115,50.49
1450,2,3,2,182,100
1190,2,2,1,149,49.98
1420,2,3,2,178,96
1680,2,3,2,210,120
980,2,2,1,123,69
1180,2,2,1,148,72
1400,2,3,2,175,115
1270,2,2,1,159,83
2503,2,4,2,313,188
2200,2,3,2,275,190
1575,2,3,2,197,110
1850,2,3,2,232,140
1575,2,3,2,197,120
1850,2,3,2,232,150
1680,2,3,2,210,120
1175,2,2,1,147,82.5
1215,2,2,1,152,90
1050,2,2,1,132,75
1300,2,3,2,163,89.13
1130,2,2,1,142,73
1450,2,3,2,182,100
1050,2,2,1,132,50
1275,2,2,1,160,87
1650,2,3,2,207,110
850,2,2,1,107,42
1680,2,3,2,210,117
1850,2,3,2,232,150
1236,2,2,1,155,61.33
1000,2,2,1,125,53
1680,2,3,2,210,125
1675,2,3,2,210,135
1187,2,2,1,149,59
1850,2,3,2,232,155
1000,2,2,1,125,61
1460,2,3,2,183,100
1650,2,3,2,207,110
1200,2,2,1,150,62.5
1000,2,2,1,125,70.65
1080,2,2,1,135,75
1680,2,3,2,210,125
1460,2,3,2,183,97
1120,2,2,1,140,65
1100,2,2,1,138,60
1790,2,3,2,224,120
1680,2,3,2,210,117
1050,2,2,1,132,77
1050,2,2,1,132,75
1040,2,2,1,130,75
1400,2,3,2,175,95
1800,2,3,2,225,130
1050,2,2,1,132,68
1000,2,2,1,125,60
1680,2,3,2,210,125
1050,2,2,1,132,77.47
1270,2,2,1,159,80
1680,2,3,2,210,122
1130,2,2,1,142,85
1680,2,3,2,210,130
980,2,2,1,123,77.44
1680,2,3,2,210,112
2095,2,3,2,262,150
1976,2,3,2,247,145
1600,2,3,2,200,110
1765,2,3,2,221,118
1275,2,3,2,160,88
1450,2,3,2,182,102
1575,2,3,2,197,110
750,2,1,1,94,47
990,2,2,1,124,50
1000,2,1,1,125,60
1430,2,3,2,179,102
1128,2,2,1,141,60
1140,2,2,1,143,57
1420,2,3,2,178,90
1530,2,2,1,192,108
1073.5,2,2,1,135,54.005
451,2,1,1,57,29.9
1062,2,2,1,133,42.47
1455,2,3,2,182,73.31
871,2,2,1,109,55
1098,2,2,1,138,43.91
1800,2,3,2,225,80
2700,2,4,2,338,130
1080,2,2,1,135,38
1059,2,2,1,133,34.5
1080,2,2,1,135,35
1062,2,2,1,133,42.47
500,2,1,1,63,31
1100,2,2,1,138,35
2100,2,4,2,263,92
1035,2,2,1,130,39.33
909,2,2,1,114,40.9
1431.5,2,3,2,179,72.02
1900,2,3,2,238,90
500,2,1,1,63,30
1125,2,2,1,141,36.94
1100,2,2,1,138,35
1089,2,2,1,137,43.55
1504,2,3,2,188,83
2600,2,4,2,325,115
1089,2,2,1,137,43.55
1513,2,2,1,190,62
1298,2,2,1,163,59
1006,2,2,1,126,44
500,2,1,1,63,33
1160,2,2,1,145,95
1245,2,2,1,156,59
1510,2,2,1,189,80
3300,2,3,2,413,165
1730,2,5,3,217,75
1046,2,2,1,131,48
1408,2,3,2,176,80
1005,2,2,1,126,50
1100,2,2,1,138,65
1080,2,2,1,135,37
1035,2,2,1,130,45
5000,2,4,2,625,290
1164,2,2,1,146,56
1005,2,2,1,126,42
1127,2,2,1,141,50
1005,2,2,1,126,43
835,2,2,1,105,37
1050,2,2,1,132,39
660,2,2,1,83,27
600,2,1,1,75,20
1466,2,2,1,184,71
1890,2,3,2,237,93
1079,2,2,1,135,60
1480,2,2,1,185,80
1200,2,2,1,150,80
905,2,2,1,114,32
1073,2,2,1,135,52.36
1719.3,2,3,2,215,88
1780,2,3,2,223,88
1522,2,3,2,191,90
890,2,2,1,112,45
5000,2,4,2,625,300
1050,2,2,1,132,35
1331.95,2,2,1,167,69
1100,2,2,1,138,45
1028,2,2,1,129,42
1199,2,2,1,150,65
1080,2,2,1,135,55
1123,2,2,1,141,64
1308,2,2,1,164,60
1005,2,2,1,126,55
985,2,2,1,124,40.39
2200,2,6,3,275,68
765,2,1,1,96,30
880,2,2,1,110,35
795,2,2,1,100,32.54
1005,2,2,1,126,39.59
734,2,1,1,92,19.82
1020,2,2,1,128,41.82
985,2,2,1,124,40.39
2500,2,6,3,313,81
795,2,2,1,100,32.54
1130,2,2,1,142,46.33
795,2,2,1,100,32.6
3000,2,8,4,375,150
985,2,2,1,124,38.92
1000,2,2,1,125,41
995,2,2,1,125,40.8
1020,2,2,1,128,40.8
1388,2,2,1,174,57
1070,2,2,1,134,54
1280,2,2,1,160,58
1662,2,3,2,208,85.1
1897,2,3,2,238,120
1410,2,3,2,177,75
1360,2,3,2,170,85
1410,2,3,2,177,80
1662,2,3,2,208,85
1662,2,3,2,208,85.5
1280,2,2,1,160,60
1666,2,3,2,209,95
1575,2,3,2,197,90
1430,2,3,2,179,75
1419,2,3,2,178,73
1280,2,2,1,160,60
1200,2,2,1,150,50
1092,2,2,1,137,60
1690,2,3,2,212,85
1897,2,3,2,238,93
1884,2,3,2,236,98
1314,2,2,1,165,68.8
1690,2,3,2,212,85
1265,2,2,1,159,67
1126,2,2,1,141,55
1662,2,3,2,208,90
1420,2,3,2,178,75
1412,2,3,2,177,88
1434,2,3,2,180,84
1890,2,3,2,237,100
1419,2,3,2,178,87
1300,2,2,1,163,54
1690,2,3,2,212,85
1113,2,2,1,140,52
1820,2,3,2,228,95
1100,2,2,1,138,48
1896,2,3,2,237,102
1300,2,2,1,163,66
1225,2,2,1,154,68
1179,2,2,1,148,51
1421,2,3,2,178,73
